Name                                         PID     Status         CPU%    Memory      Disk (R/W MB/s)   Network   
esrv.exe                                     12536   running        0.0%    91.8 MB     0.0 MB/s          N/A       
  chrome.exe                                 3976    running        0.0%    29.7 MB     0.0 MB/s          N/A       
  chrome.exe                                 5040    running        0.0%    64.4 MB     0.0 MB/s          N/A       
  chrome.exe                                 5732    running        0.0%    60.0 MB     0.0 MB/s          N/A       
  chrome.exe                                 5772    running        0.0%    198.8 MB    0.0 MB/s          N/A       
  chrome.exe                                 6208    running        0.0%    467.6 MB    0.0 MB/s          N/A       
  chrome.exe                                 8788    running        0.0%    26.3 MB     0.0 MB/s          N/A       
  chrome.exe                                 8896    running        0.0%    50.2 MB     0.0 MB/s          N/A       
  chrome.exe                                 9900    running        0.0%    23.5 MB     0.0 MB/s          N/A       
  chrome.exe                                 11092   running        0.0%    64.7 MB     0.0 MB/s          N/A       
  chrome.exe                                 11588   running        0.0%    8.6 MB      0.0 MB/s          N/A       
  chrome.exe                                 12380   running        0.0%    563.0 MB    0.0 MB/s          N/A       
  chrome.exe                                 12520   running        0.0%    59.1 MB     0.0 MB/s          N/A       
  chrome.exe                                 15720   running        0.0%    57.2 MB     0.0 MB/s          N/A       
  chrome.exe                                 16556   running        0.0%    690.9 MB    0.0 MB/s          N/A       
  chrome.exe                                 18004   running        0.0%    29.9 MB     0.0 MB/s          N/A       
  chrome.exe                                 20184   running        0.0%    70.0 MB     0.0 MB/s          N/A       
chrome.exe (16)                              12632   running        0.0%    2,780.6 MB  0.0 MB/s          N/A       
conhost.exe                                  13204   running        0.0%    7.7 MB      0.0 MB/s          N/A       
IntelGraphicsSoftware.exe                    13352   running        0.0%    7.9 MB      0.0 MB/s          N/A       
MpCmdRun.exe                                 13892   running        0.0%    17.9 MB     0.0 MB/s          N/A       
OneDrive.exe                                 17924   running        0.0%    169.7 MB    0.0 MB/s          N/A       

--- Snapshot @ 2025-04-19 18:11:57 ---
System Idle Process                          0       running        75.0%   < 0.1 MB    0.0 MB/s          N/A       
  N/A                                        140     stopped        0.0%    0.1 MB      0.0 MB/s          N/A       
  Registry                                   180     running        0.0%    39.7 MB     0.0 MB/s          N/A       
  smss.exe                                   612     running        0.0%    1.5 MB      0.0 MB/s          N/A       
  MemCompression                             3144    running        0.0%    121.0 MB    0.0 MB/s          N/A       
System (4)                                   4       running        0.8%    162.5 MB    0.0 MB/s          N/A       
    svchost.exe                              692     running        0.0%    10.4 MB     0.0 MB/s          N/A       
      SDXHelper.exe                          652     running        0.0%    31.9 MB     0.0 MB/s          N/A       
      dllhost.exe                            3196    running        0.0%    17.3 MB     0.0 MB/s          N/A       
      ShellExperienceHost.exe                3420    stopped        0.0%    108.4 MB    0.0 MB/s          N/A       
          msedgewebview2.exe                 3820    running        0.0%    < 0.1 MB    0.0 MB/s          N/A       
